Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
CAML3;5,14;10,94;0,52;0,153;5,70%;0,159;0,84;3,47;-1,16;10,64;7,01;4,41%;1,40%;1,51;6,44%;4,79%;4.862.050,00;3.429.760.000,00;1,64;9,47%
LREN3;14,31;11,09;1,47;0,983;5,46%;0,810;3,24;4,42;5,92;4,07;2,96;22,25%;8,86%;1,74;21,99%;13,28%;218.912.000,00;10.300.500.000,00;0,06;12,44%
GRNL4;470,00;11,09;1,07;7,231;0,00%;0,975;8,04;-64,72;15,01;-63,22;-63,22;-11,17%;65,19%;4,35;-1,65%;9,69%;0,00;93.104.000,00;0,05;21,48%
ELUM3;36,00;11,12;1,50;0,940;0,00%;0,886;2,31;14,76;2,51;10,02;10,02;6,37%;8,46%;2,02;9,40%;13,47%;0,00;443.231.000,00;0,08;8,40%
LUXM3;10,00;11,14;2,59;2,884;0,00%;1,815;26,50;22,14;-15,40;22,20;11,59;13,03%;25,87%;1,61;9,10%;23,25%;0,00;160.407.000,00;0,12;4,66%
CGAS5;135,17;11,18;10,44;1,269;7,48%;1,245;16,88;6,05;-2,05;8,51;6,91;20,96%;11,35%;1,37;24,21%;93,41%;119.865,00;1.715.480.000,00;5,01;8,11%
DIRR3;14,85;11,20;3,51;2,037;7,34%;0,668;2,23;8,90;-2,01;8,89;8,20;22,90%;21,11%;2,93;9,35%;31,32%;66.543.400,00;2.203.630.000,00;0,96;21,97%
LEVE4;44,49;11,21;8,16;1,181;0,00%;1,616;10,50;7,23;-8,66;8,64;7,56;16,35%;10,54%;1,33;31,43%;72,76%;0,00;739.079.000,00;1,88;11,17%
RIPI3;48,01;11,23;-28,94;-7,449;0,00%;7,092;-59,55;-8,79;-16,76;-9,31;-9,31;84,70%;-66,31%;0,87;-99,10%;-257,61%;0,00;-49.103.000,00;-2,44;5,82%
CZLT33;29,23;11,24;1,39;0,526;0,00%;0,145;1,87;3,10;-0,29;10,26;4,03;16,97%;9,14%;1,58;5,31%;12,36%;0,00;5.691.680.000,00;3,93;7,88%
CGAS3;136,00;11,25;10,51;1,277;6,76%;1,252;16,98;6,09;-2,06;8,54;6,94;20,96%;11,35%;1,37;24,21%;93,41%;11.973,20;1.715.480.000,00;5,01;8,11%
ENMT3;52,60;11,26;2,77;1,341;8,83%;0,773;9,65;6,48;-1,67;9,90;8,24;20,69%;11,91%;1,45;14,08%;24,58%;18.122,40;4.160.620.000,00;1,84;7,55%
AESL3;10.081,90;11,30;1,87;0,990;0,00%;0,556;-16,88;4,73;-1,02;8,38;8,38;20,92%;8,77%;0,82;12,53%;16,52%;0,00;6.080.080.000,00;1,48;8,71%
AESL4;10.081,90;11,30;1,87;0,990;0,00%;0,556;-16,88;4,73;-1,02;8,38;8,38;20,92%;8,77%;0,82;12,53%;16,52%;0,00;6.080.080.000,00;1,48;8,71%
RIPI4;48,50;11,35;-29,24;-7,525;0,00%;7,164;-60,16;-8,88;-16,93;-9,40;-9,40;84,70%;-66,31%;0,87;-99,10%;-257,61%;0,00;-49.103.000,00;-2,44;5,82%
ALLL3;3,97;11,44;0,55;0,531;0,00%;0,146;2,18;1,30;-0,26;3,96;2,45;40,92%;4,76%;1,62;13,04%;4,81%;0,00;13.404.700.000,00;1,58;17,53%
EBCO4;1,00;11,46;0,80;0,330;0,00%;0,351;50,21;8,51;-14,31;8,26;8,26;3,88%;2,90%;1,01;5,04%;7,00%;0,00;828.097.000,00;0,02;6,09%
PATI4;38,90;11,54;1,20;0,431;8,37%;0,614;1,55;8,18;2,66;8,25;7,22;5,28%;3,74%;2,22;13,42%;10,42%;3.818,36;773.997.000,00;0,52;-4,20%
CURY3;31,20;11,58;6,85;1,957;4,98%;1,757;5,78;8,01;-15,18;7,81;7,58;24,43%;18,70%;2,10;33,77%;59,14%;70.561.400,00;1.329.970.000,00;0,98;32,94%
TEMP3;4,15;11,64;4,92;0,980;0,00%;2,014;9,98;10,60;19,39;9,55;7,74;9,25%;8,42%;1,41;34,49%;42,27%;0,00;135.736.000,00;0,23;-13,11%
GUAR3;9,62;11,67;0,87;0,472;1,22%;0,355;1,75;5,06;11,33;5,87;3,37;9,34%;4,05%;1,48;8,47%;7,45%;9.653.500,00;5.527.430.000,00;0,36;10,05%
ENMT4;54,50;11,67;2,87;1,389;8,52%;0,801;10,00;6,71;-1,73;10,13;8,44;20,69%;11,91%;1,45;14,08%;24,58%;8.919,25;4.160.620.000,00;1,84;7,55%
PORT3;18,40;11,74;3,13;2,605;4,16%;1,298;-52,55;8,79;-2,96;11,36;8,32;29,64%;22,41%;0,86;15,99%;26,69%;15.221.900,00;2.601.000.000,00;1,03;5,54%
CPLE3;11,98;11,74;1,40;1,497;4,91%;0,588;24,91;8,39;-1,55;12,38;9,22;17,83%;12,69%;1,13;7,72%;11,89%;53.281.100,00;25.596.100.000,00;0,78;2,06%
NAFG3;64,37;11,80;2,76;1,102;0,00%;1,153;3,20;7,35;60,48;8,64;6,57;14,99%;9,28%;2,52;19,92%;23,42%;0,00;316.392.000,00;0,81;9,49%
NAFG4;64,42;11,81;2,76;1,103;0,00%;1,154;3,20;7,36;60,52;8,65;6,57;14,99%;9,28%;2,52;19,92%;23,42%;0,00;316.392.000,00;0,81;9,49%
SLCE3;15,73;11,85;1,35;0,794;3,47%;0,396;2,14;4,10;-1,50;7,53;6,22;19,34%;6,62%;1,73;10,77%;11,36%;31.643.200,00;5.179.100.000,00;1,35;9,78%
BRIT3;3,06;11,85;0,88;1,003;0,00%;0,339;3,39;7,18;-1,03;12,58;4,16;13,96%;8,45%;1,54;6,52%;7,44%;0,00;1.557.890.000,00;1,25;22,57%
PNVL3;9,29;11,90;1,13;0,271;3,15%;0,420;1,70;7,17;-7,84;12,45;5,82;3,78%;2,28%;1,75;7,69%;9,51%;3.045.200,00;1.234.100.000,00;0,99;14,29%
DMVF3;4,59;11,95;0,26;0,096;0,00%;0,123;5,04;7,41;-0,63;7,50;1,49;1,30%;0,81%;1,08;2,13%;2,15%;334.817,00;902.299.000,00;0,04;22,87%
FIBR3;66,30;12,03;2,59;2,010;7,59%;0,899;9,59;5,13;-2,54;7,17;5,29;39,18%;16,75%;1,46;22,95%;21,57%;0,00;14.149.000.000,00;1,46;22,71%
EBCO3;1,05;12,03;0,84;0,346;0,00%;0,368;52,72;8,94;-15,02;8,68;8,68;3,88%;2,90%;1,01;5,04%;7,00%;0,00;828.097.000,00;0,02;6,09%
REAG3;1,14;12,08;0,55;2,640;0,00%;0,513;0,56;-8,45;0,56;6,97;9,54;-31,23%;21,86%;16,47;-155,93%;4,53%;45.425,30;293.687.000,00;0,00;1,74%
MPLU3;26,80;12,20;17,37;6,877;0,00%;2,676;50,65;10,34;66,01;7,71;7,28;66,52%;56,37%;1,06;129,57%;142,40%;0,00;250.279.000,00;0,00;-18,88%
IGTI11;23,11;12,27;1,52;5,026;1,70%;0,705;3,31;8,52;-2,89;11,48;9,60;58,99%;40,97%;3,67;10,10%;12,38%;52.298.500,00;4.514.230.000,00;0,91;16,16%
ASAI3;8,37;12,29;2,02;0,149;1,28%;0,256;7,90;2,01;-0,48;4,17;3,20;7,39%;1,21%;1,11;19,10%;16,47%;172.425.000,00;5.599.000.000,00;2,96;26,22%
EQTL3;35,88;12,33;1,61;0,910;2,20%;0,386;9,18;4,32;-0,76;8,71;7,01;21,06%;9,07%;1,24;10,16%;13,05%;270.652.000,00;27.995.100.000,00;1,97;26,30%
VAMO3;2,94;12,33;1,22;0,829;9,32%;0,142;1,22;1,17;-0,23;5,72;4,33;71,08%;6,72%;1,80;15,43%;9,90%;53.068.700,00;2.604.220.000,00;6,33;19,45%
PATI3;41,72;12,38;1,29;0,463;5,20%;0,658;1,66;8,77;2,85;8,84;7,74;5,28%;3,74%;2,22;13,42%;10,42%;24.388,90;773.997.000,00;0,52;-4,20%
BMIN3;22,99;12,40;0,78;0,000;1,54%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;6,28%;52,25;142.483.000,00;0,00;8,50%
AMPI3;55,00;12,41;2,74;0,247;0,00%;0,177;5,68;0,98;-0,68;1,99;1,73;25,18%;15,11%;1,12;21,22%;22,09%;0,00;240.799.000,00;4,48;14,12%
ODPV3;13,20;12,42;5,58;3,069;7,52%;3,402;-37,05;9,68;-22,35;9,17;8,53;31,71%;24,69%;0,72;43,94%;44,90%;18.053.800,00;1.291.700.000,00;0,00;7,44%
CPLE5;12,70;12,45;1,48;1,587;5,09%;0,624;26,41;8,90;-1,64;12,89;9,59;17,83%;12,69%;1,13;7,72%;11,89%;2.798,93;25.596.100.000,00;0,78;2,06%
CPLE6;12,80;12,54;1,49;1,599;5,05%;0,629;26,62;8,97;-1,65;12,96;9,65;17,83%;12,69%;1,13;7,72%;11,89%;134.058.000,00;25.596.100.000,00;0,78;2,06%
BRML3;8,26;12,55;0,57;4,171;0,00%;0,338;7,22;6,23;-1,09;8,11;7,46;66,92%;37,53%;2,20;5,85%;4,52%;0,00;11.944.200.000,00;0,29;16,26%
TMGC7;800,01;12,68;1,63;1,164;0,00%;1,120;6,77;17,85;11,96;16,52;16,52;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
JSLG3;5,42;12,95;0,85;0,163;7,76%;0,127;0,69;1,47;-0,26;7,75;4,67;11,05%;1,26%;1,99;9,98%;6,59%;3.657.200,00;1.819.290.000,00;4,41;185,89%
CIEL3;5,83;12,97;1,60;2,567;0,00%;0,144;1,60;60,41;7,32;95,08;95,08;4,25%;19,79%;1,11;0,97%;12,31%;0,00;9.919.530.000,00;1,07;8,25%
AVIL3;0,93;12,97;4,16;2,338;0,00%;2,227;3,89;10,00;9,02;9,40;9,40;23,38%;18,01%;5,14;40,99%;32,03%;0,00;1.106.590.000,00;0,52;1,74%
ABEV3;12,15;12,98;2,07;2,088;8,65%;1,347;48,86;9,32;-23,48;8,62;6,47;22,40%;16,56%;1,11;19,45%;15,95%;320.610.000,00;92.471.600.000,00;0,03;7,14%
DXTG4;3,68;13,02;1,32;0,675;0,00%;0,689;2,44;6,26;7,48;6,33;6,33;10,78%;6,60%;2,77;12,31%;10,10%;0,00;768.999.000,00;0,04;8,30%
ETER4;9,85;13,03;0,74;0,515;0,00%;0,448;2,82;15,69;34,96;19,45;8,14;3,28%;3,95%;1,65;3,09%;5,65%;0,00;826.833.000,00;0,19;3,64%
BPAC11;45,77;13,09;2,76;0,000;2,31%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;21,05%;361.596.000,00;63.703.300.000,00;0,00;13,91%
SFSA4;4,40;13,10;0,82;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;6,25%;0,00;739.524.000,00;0,00;0,15%
GETI3;14,45;13,19;3,44;1,916;0,00%;1,314;-15,63;6,98;-3,19;8,20;6,76;27,43%;14,52%;0,71;22,70%;26,09%;0,00;1.601.130.000,00;0,86;13,39%
GETI4;14,46;13,20;3,44;1,917;0,00%;1,315;-15,64;6,99;-3,20;8,20;6,76;27,43%;14,52%;0,71;22,70%;26,09%;0,00;1.601.130.000,00;0,86;13,39%
EPAR3;4,40;13,25;1,60;22,432;41,76%;1,152;14,74;-9,12;-6,95;-8,70;-10,55;-245,94%;169,30%;3,21;-13,36%;12,07%;36.114,40;40.889.000,00;0,00;-73,89%
RGEG3;3,00;13,42;1,60;0,770;0,00%;0,609;-98,28;6,23;-1,76;10,04;11,70;12,36%;5,74%;0,98;11,69%;11,90%;0,00;1.915.180.000,00;1,15;10,09%
SOJA3;10,13;13,54;1,01;0,706;1,47%;0,382;0,79;8,80;1,52;10,64;7,80;8,03%;8,90%;3,21;5,76%;7,48%;4.363.870,00;1.353.140.000,00;0,63;33,52%
TKNO4;198,00;13,77;1,78;1,931;2,89%;1,474;3,35;15,82;3,65;14,38;11,80;12,20%;14,02%;4,30;11,93%;12,90%;86.826,70;328.504.000,00;0,01;2,02%
B3SA3;12,60;13,78;3,36;6,154;2,23%;1,411;6,53;10,44;-6,11;10,43;9,82;58,92%;44,67%;2,62;19,80%;24,40%;379.082.000,00;19.736.100.000,00;0,74;1,04%
CMIN3;5,59;13,81;3,32;1,831;4,98%;0,852;4,11;6,59;-3,14;5,49;4,37;27,79%;13,26%;1,78;23,70%;24,04%;24.386.200,00;9.237.280.000,00;1,00;-1,97%
MOTV3;14,25;13,82;1,96;1,367;3,44%;0,446;5,95;4,86;-0,74;10,31;8,03;28,12%;10,08%;1,88;10,44%;14,16%;109.894.000,00;14.702.500.000,00;2,65;14,56%
FLRY3;15,36;13,86;1,56;1,072;6,45%;0,643;3,20;7,13;-2,60;9,92;5,81;15,03%;7,44%;2,51;11,40%;11,27%;48.743.900,00;5.379.100.000,00;1,00;23,41%
ARCE3;54,00;14,01;2,60;2,461;0,00%;1,726;11,33;8,89;102,03;9,07;9,07;27,70%;19,46%;1,97;22,04%;18,59%;0,00;13.495.400.000,00;0,17;48,47%
ARML3;3,01;14,22;0,85;0,560;7,08%;0,227;1,21;2,45;-0,57;6,91;4,43;22,91%;4,19%;2,42;11,75%;5,95%;4.740.340,00;1.232.630.000,00;2,05;39,15%
TMGC11;900,00;14,26;1,83;1,309;0,00%;1,260;7,62;20,08;13,46;18,75;18,75;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
TNCP4;182,60;14,42;2,49;3,091;0,00%;1,696;52,65;11,85;-22,30;11,88;8,72;26,08%;21,44%;1,15;16,48%;17,29%;0,00;13.081.500.000,00;0,09;97,79%
BMOB3;21,23;14,43;1,61;1,152;7,98%;1,121;2,69;14,05;3,05;10,39;6,77;8,20%;8,13%;2,65;12,93%;11,17%;7.613.570,00;1.127.180.000,00;0,02;51,09%
FESA3;11,15;14,45;1,17;1,645;4,07%;0,921;3,08;22,41;4,41;18,57;7,20;7,34%;11,39%;3,46;5,53%;8,09%;1.696,86;3.369.260.000,00;0,09;1,37%
SEER3;10,39;14,47;1,02;0,629;1,48%;0,396;5,41;3,29;-1,20;4,72;3,06;19,10%;4,34%;1,35;13,17%;7,03%;6.512.950,00;1.314.460.000,00;0,63;12,61%
TNCP3;184,85;14,59;2,52;3,129;0,00%;1,717;53,30;12,00;-22,58;12,03;8,83;26,08%;21,44%;1,15;16,48%;17,29%;0,00;13.081.500.000,00;0,09;97,79%
KSSA3;5,33;14,66;1,40;0,916;0,00%;0,406;1,72;5,62;6,73;12,30;12,30;16,31%;8,42%;1,47;7,67%;9,58%;0,00;553.026.000,00;1,80;40,68%
ELUM4;47,90;14,79;1,99;1,251;0,00%;1,178;3,07;19,64;3,34;14,90;14,90;6,37%;8,46%;2,02;9,40%;13,47%;0,00;443.231.000,00;0,08;8,40%
TCOC3;38,85;14,90;1,80;2,225;0,00%;1,307;3,78;14,48;4,39;12,23;12,23;15,37%;14,93%;2,53;13,98%;12,06%;0,00;2.812.920.000,00;0,04;16,71%
HAGA4;1,09;14,92;-0,25;0,450;0,00%;0,193;0,37;-4,78;-0,22;5,72;9,04;-9,41%;3,01%;2,46;-16,18%;-1,70%;8.101,91;-51.172.200,00;-0,41;-9,05%
AGRO3;20,10;14,95;0,95;1,761;7,74%;0,538;3,97;9,77;-4,29;15,22;11,24;18,02%;11,78%;1,79;6,03%;6,34%;3.295.990,00;2.177.730.000,00;0,60;-6,53%
RDCD3;35,16;15,07;14,74;7,936;0,00%;0,925;21,14;13,40;22,70;14,25;14,26;59,23%;52,65%;1,05;6,97%;97,78%;0,00;1.605.520.000,00;1,04;12,16%
BOAS3;7,95;15,22;1,83;4,929;0,00%;1,699;3,34;25,60;3,54;18,69;8,52;19,25%;32,39%;12,37;12,76%;12,04%;0,00;2.298.770.000,00;0,00;10,99%
PGMN3;3,75;15,29;0,89;0,182;5,79%;0,273;1,37;3,65;-1,81;5,79;3,28;4,97%;1,19%;1,58;10,12%;5,85%;7.767.190,00;2.778.330.000,00;0,61;18,05%
STBP3;14,42;15,30;15,55;3,754;3,53%;2,258;76,40;8,50;-3,44;9,94;8,36;44,15%;24,53%;1,18;30,48%;101,58%;78.849.700,00;801.593.000,00;3,35;27,58%
TMGC13;966,14;15,31;1,96;1,406;0,00%;1,353;8,18;21,56;14,45;20,23;20,23;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
MERC4;12,50;15,32;0,87;0,000;4,24%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;5,67%;2.954,16;590.403.000,00;0,00;17,46%
BEMA3;10,80;15,32;1,22;1,293;0,00%;0,808;3,18;14,34;11,45;14,43;8,11;9,01%;8,44%;2,66;6,96%;7,95%;0,00;457.342.000,00;0,19;10,58%
MGLU3;8,20;15,72;0,55;0,158;3,72%;0,164;1,41;3,36;-0,92;5,62;3,24;4,71%;1,01%;1,29;7,07%;3,48%;236.050.000,00;11.085.100.000,00;0,56;2,03%
USIM3;4,72;15,72;0,24;0,221;0,00%;0,145;0,43;5,65;1,30;6,54;2,98;3,91%;1,99%;4,16;3,36%;1,55%;3.044.550,00;24.277.700.000,00;0,32;-2,27%
ILMD3;29,00;15,73;2,63;0,683;0,00%;1,395;5,70;14,13;7,53;13,13;13,13;4,84%;4,92%;1,60;12,52%;16,69%;0,00;658.715.000,00;0,02;0,65%
USIM5;4,79;15,96;0,25;0,224;0,00%;0,148;0,44;5,73;1,32;6,62;3,02;3,91%;1,99%;4,16;3,36%;1,55%;50.189.300,00;24.277.700.000,00;0,32;-2,27%
CRTP5;62,10;15,98;1,71;1,748;0,00%;1,127;3,98;14,09;5,88;12,48;12,48;12,40%;10,94%;2,14;12,36%;10,68%;0,00;1.210.570.000,00;0,12;10,11%
BAUH4;86,95;16,10;3,34;1,721;1,42%;2,333;8,91;21,18;9,51;18,44;14,77;8,13%;10,69%;1,92;22,36%;20,76%;24.499,60;135.885.000,00;0,00;9,84%
BPAN4;9,70;16,14;1,60;0,000;2,49%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,93%;17.582.500,00;7.678.540.000,00;0,00;2,09%
ILMD4;30,00;16,28;2,72;0,707;0,00%;1,443;5,89;14,62;7,79;13,62;13,62;4,84%;4,92%;1,60;12,52%;16,69%;0,00;658.715.000,00;0,02;0,65%
DURA4;31,39;16,35;2,22;2,182;0,00%;1,224;17,24;10,12;-10,49;11,47;11,47;21,56%;13,39%;1,27;14,38%;13,59%;0,00;1.789.980.000,00;0,52;10,94%
ALOS3;23,94;16,37;0,90;4,309;5,42%;0,457;4,82;8,67;-1,44;6,54;4,53;49,69%;30,14%;2,91;5,95%;5,48%;79.916.200,00;13.446.800.000,00;0,00;41,02%
MDIA3;28,41;16,41;1,18;0,980;2,39%;0,758;2,85;10,75;7,15;10,43;7,26;9,12%;5,97%;2,33;9,60%;7,21%;16.124.800,00;8.140.170.000,00;0,23;8,16%
DURA3;31,90;16,62;2,26;2,218;0,00%;1,244;17,52;10,29;-10,66;11,64;11,64;21,56%;13,39%;1,27;14,38%;13,59%;0,00;1.789.980.000,00;0,52;10,94%
LIPR3;36,01;16,64;1,82;0,000;3,95%;1,706;6,65;-54,89;7,07;-45,91;-45,91;0,00%;0,00%;6,18;-4,31%;10,96%;0,00;232.276.000,00;0,00;0,00%
DPPI3;85,00;16,65;4,99;-1,453;0,00%;3,753;8,70;190,72;9,75;177,18;177,18;-0,76%;-5,04%;3,14;3,00%;29,97%;0,00;545.227.000,00;0,06;15,14%
RENT3;36,10;16,81;1,53;0,988;5,22%;0,481;9,02;4,80;-1,02;8,88;5,46;20,60%;5,87%;1,33;12,30%;9,12%;291.554.000,00;25.487.200.000,00;1,63;42,84%
CALI4;50,00;16,88;1,97;2,260;0,00%;0,550;1,19;82,07;19,60;100,43;61,71;2,75%;15,41%;4,26;0,75%;11,70%;0,00;176.959.000,00;0,74;17,68%
NATU3;8,26;16,89;1,20;0,503;0,00%;0,565;1,65;3,85;3,86;3,90;3,15;13,08%;2,98%;2,03;22,51%;7,11%;125.040.000,00;9.460.150.000,00;0,26;0,08%
CEPE3;128,00;17,05;4,50;1,167;0,00%;0,659;17,21;6,95;-1,05;12,64;9,53;16,78%;6,84%;1,20;10,40%;26,42%;0,00;2.120.000.000,00;3,98;0,81%
TIMP3;13,46;17,13;1,43;1,903;0,00%;0,818;15,37;9,79;-3,78;9,72;3,77;19,44%;11,11%;1,34;9,67%;8,33%;0,00;22.847.800.000,00;0,14;2,29%
CBAV3;4,98;17,21;0,74;0,370;0,00%;0,243;1,67;6,74;-0,71;13,50;5,52;5,50%;3,35%;1,86;4,18%;4,32%;29.620.400,00;4.361.180.000,00;0,90;-2,24%
BMTO4;7,57;17,27;2,07;0,000;0,00%;2,030;0,00;-2.625,16;0,00;-2.624,05;-1.477,48;0,00%;0,00%;0,00;0,00%;12,00%;0,00;1.046.320.000,00;0,00;0,00%
PEAB4;36,00;17,40;0,75;6,265;4,02%;0,527;3,32;-50,86;-5,02;-48,49;204,92;-12,32%;36,01%;6,02;-1,22%;4,30%;9.203,32;909.591.000,00;0,17;43,85%
AFLT3;7,22;17,44;1,89;6,012;5,95%;1,290;9,53;12,42;-17,31;12,62;12,56;48,41%;34,47%;2,24;11,24%;10,86%;1.210,30;240.521.000,00;0,13;4,39%
BFIT4;0,93;17,55;1,96;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;11,15%;0,00;1.849.420.000,00;0,00;35,67%
MYPK4;31,79;17,75;1,13;0,307;0,00%;0,328;1,75;4,70;-1,51;8,46;5,55;6,53%;2,34%;1,68;9,63%;6,37%;0,00;4.317.770.000,00;1,30;5,54%
BMTO3;7,82;17,84;2,14;0,000;0,00%;2,097;0,00;-2.711,85;0,00;-2.710,74;-1.526,30;0,00%;0,00%;0,00;0,00%;12,00%;0,00;1.046.320.000,00;0,00;0,00%
VIVT3;32,54;18,00;1,54;1,821;5,28%;0,830;-224,93;12,22;-3,28;13,49;4,95;14,90%;10,10%;0,98;7,98%;8,57%;129.350.000,00;68.076.700.000,00;0,30;7,56%
UCOP4;6,50;18,01;1,30;19,050;0,00%;0,844;5,14;22,70;-8,61;24,17;41,56;83,92%;110,51%;13,37;3,91%;7,23%;0,00;972.713.000,00;0,16;9,25%
PEAB3;37,28;18,01;0,77;6,487;3,63%;0,546;3,43;-52,67;-5,20;-50,30;212,56;-12,32%;36,01%;6,02;-1,22%;4,30%;4.306,34;909.591.000,00;0,17;43,85%
HYPE3;21,50;18,34;1,14;2,044;5,43%;0,562;11,60;14,52;-2,05;22,67;17,16;14,07%;11,01%;1,26;4,15%;6,19%;56.769.700,00;11.991.900.000,00;0,74;8,32%
BFIT3;0,98;18,49;2,06;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;11,15%;0,00;1.849.420.000,00;0,00;35,67%
FRAS3;22,24;18,54;2,86;1,289;2,64%;0,939;3,55;8,91;-5,00;11,66;8,85;14,47%;7,11%;2,24;13,26%;15,40%;8.951.070,00;2.183.560.000,00;1,23;18,47%
ELET3;53,29;18,55;1,04;2,816;6,60%;0,447;5,31;8,22;-1,16;10,92;8,50;34,27%;15,18%;1,86;6,16%;5,59%;372.424.000,00;118.707.000.000,00;0,59;8,87%
TMCP3;56,00;18,58;1,38;1,525;0,00%;0,937;3,85;24,25;4,74;19,68;19,68;6,29%;9,75%;2,30;5,54%;7,44%;0,00;1.798.930.000,00;0,03;10,49%
MERC3;15,28;18,73;1,06;0,000;0,95%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;5,67%;0,00;590.403.000,00;0,00;17,46%
EMAE4;34,00;18,82;0,99;2,008;0,00%;0,572;2,29;14,79;-4,32;11,88;10,58;13,58%;10,67%;6,96;4,37%;5,28%;381.443,00;1.262.990.000,00;0,00;7,28%
SMLE3;92,82;18,88;21,91;6,635;0,00%;6,477;-124,00;16,50;-42,31;16,32;13,20;40,22%;35,14%;0,91;46,17%;116,04%;0,00;524.731.000,00;0,00;36,83%
GGPS3;18,31;19,09;3,32;0,747;1,76%;0,872;2,96;9,54;-3,97;11,27;8,43;7,83%;3,97%;2,33;11,68%;17,38%;39.484.300,00;3.737.480.000,00;1,33;27,32%
TMCP4;58,20;19,31;1,44;1,585;0,00%;0,973;4,00;25,21;4,92;20,63;20,63;6,29%;9,75%;2,30;5,54%;7,44%;0,00;1.798.930.000,00;0,03;10,49%
ELET6;56,07;19,52;1,09;2,963;6,90%;0,471;5,59;8,65;-1,22;11,35;8,83;34,27%;15,18%;1,86;6,16%;5,59%;70.956.700,00;118.707.000.000,00;0,59;8,87%
GEPA3;33,70;19,66;1,81;4,915;15,34%;0,894;-13,18;11,66;-3,01;11,90;7,99;42,17%;25,01%;0,76;10,93%;9,22%;5.792,27;1.756.410.000,00;0,37;-18,80%
HBRE3;4,18;19,73;0,21;2,211;0,00%;0,083;1,64;1,48;-0,25;6,49;6,36;149,03%;54,57%;1,87;5,82%;1,09%;2.422.830,00;2.006.510.000,00;0,82;23,86%
AUTM3;19,70;20,00;1,90;0,709;0,00%;0,547;4,08;6,78;-2,42;8,22;8,99;10,47%;4,31%;1,48;11,93%;9,50%;0,00;1.304.250.000,00;0,97;28,21%
GEPA4;34,31;20,01;1,84;5,004;15,07%;0,910;-13,42;11,87;-3,07;12,11;8,14;42,17%;25,01%;0,76;10,93%;9,22%;23.849,80;1.756.410.000,00;0,37;-18,80%
AEDU11;37,35;20,13;1,13;1,405;0,00%;0,732;5,77;13,93;-7,31;16,14;10,82;10,08%;6,98%;2,04;5,77%;5,60%;0,00;2.415.400.000,00;0,30;20,90%
TFCO4;17,67;20,22;5,30;2,903;1,51%;3,291;7,01;14,29;10,74;14,93;13,63;20,32%;14,36%;3,18;26,13%;26,21%;10.123.100,00;510.935.000,00;0,29;26,31%
JPSA3;29,02;20,27;1,93;4,667;0,29%;0,468;2,34;12,96;-1,68;20,35;12,83;36,02%;46,31%;5,31;4,56%;9,51%;7.666.510,00;1.762.140.000,00;1,94;1,01%
LAME4;6,55;20,99;1,89;0,476;0,00%;0,282;1,19;7,32;-4,32;11,24;5,46;6,51%;2,51%;1,72;6,53%;9,02%;0,00;6.514.640.000,00;2,54;9,72%
LAME3;6,62;21,22;1,91;0,481;0,00%;0,285;1,20;7,40;-4,37;11,32;5,49;6,51%;2,51%;1,72;6,53%;9,02%;0,00;6.514.640.000,00;2,54;9,72%
DESK3;14,86;21,46;1,24;1,469;0,25%;0,431;3,74;5,22;-1,06;8,61;5,00;28,16%;7,55%;1,93;10,19%;5,79%;4.804.340,00;1.386.660.000,00;1,29;28,79%
DXCO3;5,05;21,52;0,61;0,498;1,06%;0,230;4,63;7,84;-0,69;17,59;5,16;6,35%;2,55%;1,22;3,45%;2,83%;13.071.800,00;6.806.910.000,00;0,97;0,96%
CRTP3;86,50;22,26;2,38;2,435;0,00%;1,570;5,55;19,63;8,19;18,02;18,02;12,40%;10,94%;2,14;12,36%;10,68%;0,00;1.210.570.000,00;0,12;10,11%
BPAC3;26,13;22,42;4,72;0,000;1,35%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;21,05%;97.670,30;63.703.300.000,00;0,00;13,91%
BSCT6;2,58;22,49;2,04;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,05%;0,00;212.960.000,00;0,00;1,92%
